IPV4_SRC_ADDR,IPV4_DST_ADDR,flow_count,distance,demand
89.159.255.164,5.9.222.138,44925,462.6378233828279,441961.3339880498
189.5.173.17,80.19.141.188,25802,5670.489166934923,216711.69865999982
80.158.159.207,86.190.158.122,61108,416.73733884957693,21258.439667999723
102.81.138.56,135.44.76.80,54515,8289.788773967455,445372.0733959966
96.41.79.140,62.185.7.85,17201,5581.462744017363,805.109992000016
89.159.255.164,78.55.181.74,58920,546.8202417836023,94797.99144396887
89.159.255.164,108.30.58.143,41117,3635.7588594726367,28924.002491999803
89.159.255.164,80.31.202.103,50350,878.231465086341,34235.14991600009
212.15.170.48,8.249.67.106,558654,5367.517905365363,1974.1010239838556
212.15.170.48,198.196.184.15,726179,5367.517905335356,7905.875063945987
175.191.203.34,141.106.66.215,31105,6901.842012919029,5652.476891999716
200.68.84.27,62.185.7.85,60909,7099.16527305299,7512.481407999823
175.191.203.34,62.185.7.85,58693,5065.9832188541495,2198.8892960000403
89.159.255.164,50.61.241.238,112770,2794.151733675852,58514.22619201469
12.0.230.98,71.74.57.18,508,0.0,53.13049599999999
121.45.142.225,80.70.193.147,939,8349.964128608754,1.9514560000000334
89.159.255.164,5.64.84.58,35657,501.55408910627114,4201.189416001464
36.14.254.232,141.106.66.215,31207,6668.724883467412,5673.059279999618
91.218.150.57,62.185.7.85,42796,0.0,6904.754631999986
108.250.93.92,62.185.7.85,60910,4071.005888916693,5440.116756000019
198.111.20.136,108.30.58.143,30069,480.22274746416423,5462.012483999221
89.159.255.164,134.218.95.210,45977,4733.603689042553,279505.06502800283
89.159.255.164,65.185.154.253,100150,4050.3364426542767,11968.522271998749
89.159.255.164,30.64.210.243,130126,4733.60368903479,18033.51399999274
89.159.255.164,215.29.182.254,117483,4733.603689030514,13208.064567997766
214.200.242.62,198.196.184.15,34411,0.0,20152.146207999976
89.159.255.164,109.14.115.188,21880,111.50674723115297,43.250703999992716
222.78.48.4,141.174.70.164,11912,7047.674537287285,55.89384799998619
17.233.102.0,62.185.7.85,61116,5083.387846177892,1026.1250839999218
89.159.255.164,179.68.228.210,704,5156.923262641165,12.894960000000026
218.195.169.175,198.196.184.15,81307,7047.674537297737,240.9674640003645
207.170.136.203,117.235.162.235,61254,8081.7629175822485,2697.705675997282
54.208.209.33,134.218.95.210,13811,1104.8992950747672,160.58666400001255
89.159.255.164,184.201.248.187,626,4733.603689038787,11.206483999999994
121.246.4.46,62.185.7.85,59538,4368.735505165472,2001.2454840000282
89.159.255.164,198.196.184.15,79599,4733.603689034895,792.8471359999324
36.14.254.232,62.185.7.85,54034,5669.158479239523,459.7312999999915
213.2.232.27,134.218.95.210,31773,4543.974831540102,117.84442399997712
12.0.230.98,42.42.56.33,46762,6519.237813671344,1641.0433680004057
116.171.108.189,20.229.43.72,247385,5066.314311825761,3230.5222439946447
