run_id,gamma,beta,alpha,s0,P0,avg_consumer_surplus,most_common_strategy_consumer_surplus,avg_producer_surplus,most_common_strategy_producer_surplus,avg_total_welfare,most_common_strategy_total_welfare
7,0.001,0.3,0.1,0.26,47.77936568759665,-166.824,4-Tier vs 4-Tier,138.848,4-Tier vs 4-Tier,-28.02,4-Tier vs 4-Tier
8,0.001,0.3,0.1,0.29,43.80058584674785,-152.471,4-Tier vs 4-Tier,124.492,4-Tier vs 4-Tier,-28.02,4-Tier vs 4-Tier
9,0.001,0.3,0.1,0.32,40.567827226058185,-140.81099999999998,4-Tier vs 4-Tier,112.78600000000002,4-Tier vs 4-Tier,-28.02,4-Tier vs 4-Tier
10,0.001,0.3,0.1,0.35,37.88925579748676,-131.144,4-Tier vs 4-Tier,103.168,4-Tier vs 4-Tier,-28.02,4-Tier vs 4-Tier
11,0.001,0.3,0.1,0.38,35.63361669974239,-123.01399999999998,4-Tier vs 4-Tier,95.032,4-Tier vs 4-Tier,-28.02,4-Tier vs 4-Tier
12,0.001,0.3,0.1,0.41,33.70807112849721,-116.064,4-Tier vs 4-Tier,88.348,6-Tier vs 6-Tier,-28.02,6-Tier vs 6-Tier
13,0.001,0.3,0.1,0.44,32.04509995333092,-110.071,4-Tier vs 4-Tier,82.296,4-Tier vs 4-Tier,-28.02,4-Tier vs 4-Tier
14,0.001,0.3,0.1,0.47,30.59442297073904,-104.83400000000002,4-Tier vs 4-Tier,77.478,5-Tier vs 5-Tier,-28.02,5-Tier vs 5-Tier
15,0.001,0.3,0.1,0.5,29.31782722605819,-100.234,4-Tier vs 4-Tier,76.64,Flat vs Flat,-28.03,Flat vs Flat
16,0.001,0.3,0.1,0.53,28.185751754360076,-96.338,4-Tier vs 4-Tier,70.77000000000001,Flat vs Flat,-28.03,Flat vs Flat
17,0.001,0.3,0.1,0.56,27.174970083201043,-92.81,2-Tier vs 2-Tier,68.27799999999999,Flat vs Flat,-28.03,Flat vs Flat
18,0.001,0.3,0.1,0.59,26.26697976843107,-89.578,2-Tier vs 2-Tier,66.094,Flat vs Flat,-28.03,Flat vs Flat
19,0.001,0.3,0.1,0.62,25.446859484122704,-86.895,3-Tier vs 3-Tier,59.29599999999999,5-Tier vs 5-Tier,-28.03,5-Tier vs 5-Tier
20,0.001,0.3,0.1,0.65,24.70244261067357,-84.214,3-Tier vs 3-Tier,61.08,Flat vs Flat,-28.03,Flat vs Flat
21,0.001,0.3,0.1,0.68,24.02370957899937,-82.136,5-Tier vs 5-Tier,58.61999999999999,Flat vs Flat,-28.03,Flat vs Flat
22,0.001,0.3,0.1,0.71,23.402334268311712,-79.89599999999999,5-Tier vs 5-Tier,56.38000000000001,Flat vs Flat,-28.03,Flat vs Flat
23,0.001,0.3,0.1,0.74,22.8313407395717,-77.836,5-Tier vs 5-Tier,54.32000000000001,Flat vs Flat,-28.03,Flat vs Flat
24,0.001,0.3,0.1,0.77,22.304840213071174,-75.936,5-Tier vs 5-Tier,51.38,Flat vs Flat,-28.03,Flat vs Flat
25,0.001,0.3,0.1,0.8,21.817827226058185,-74.178,5-Tier vs 5-Tier,48.962,Flat vs Flat,-28.03,Flat vs Flat
26,0.001,0.3,0.1,0.83,21.366019997142523,-72.548,5-Tier vs 5-Tier,47.336,Flat vs Flat,-28.03,Flat vs Flat
27,0.001,0.3,0.1,0.86,20.94573420280237,-71.03599999999999,5-Tier vs 5-Tier,45.822,Flat vs Flat,-28.03,Flat vs Flat
28,0.001,0.3,0.1,0.89,20.55378228223796,-69.61800000000001,5-Tier vs 5-Tier,46.1,Flat vs Flat,-28.03,Flat vs Flat
29,0.001,0.3,0.1,1.0,19.31782722605819,-65.16,5-Tier vs 5-Tier,37.852,5-Tier vs 5-Tier,-28.03,5-Tier vs 5-Tier
32,0.001,0.3,0.27,0.11,42.98786089609186,-147.371,4-Tier vs 4-Tier,121.568,4-Tier vs 4-Tier,-25.85,4-Tier vs 4-Tier
33,0.001,0.3,0.27,0.14,35.77285368108464,-121.71099999999998,4-Tier vs 4-Tier,95.532,4-Tier vs 4-Tier,-26.22,4-Tier vs 4-Tier
